x,depth,litho,contacts
905,0,1.0,1
905,20,0.0,
905,40,0.0,
905,60,0.0,
905,80,0.0,
905,100,0.0,
905,120,0.0,
905,140,0.0,
905,160,0.0,
905,180,0.0,
905,200,0.0,
905,220,0.0,
905,240,0.0,
905,260,0.0,
905,280,0.0,
905,300,0.0,
905,320,0.0,
905,340,0.0,
905,360,0.0,
905,380,0.0,
905,400,0.0,
905,420,0.0,
905,440,0.0,
905,460,0.0,
905,480,0.0,
905,500,0.0,
905,520,0.0,
905,540,0.0,
905,560,0.0,
905,580,0.0,
905,600,0.0,
905,620,0.0,
905,640,0.0,
905,660,1.0,1
905,680,1.0,
905,700,1.0,
905,720,1.0,
905,740,1.0,
905,760,1.0,
905,780,1.0,
905,800,1.0,
905,820,1.0,
905,840,1.0,
905,860,1.0,
905,880,1.0,
905,900,1.0,
905,920,1.0,
905,940,1.0,
905,960,1.0,
905,980,1.0,
905,1000,1.0,
905,1020,1.0,
905,1040,1.0,
905,1060,1.0,
905,1080,1.0,
905,1100,1.0,
905,1120,1.0,
905,1140,1.0,
905,1160,1.0,
905,1180,1.0,
905,1200,1.0,
905,1220,1.0,
905,1240,1.0,
905,1260,1.0,
905,1280,1.0,
905,1300,1.0,1
905,1320,0.0,
905,1340,0.0,
905,1360,0.0,
905,1380,0.0,
905,1400,0.0,
905,1420,0.0,
905,1440,0.0,
905,1460,0.0,
905,1480,0.0,
905,1500,0.0,
905,1520,0.0,
905,1540,0.0,
905,1560,0.0,
905,1580,0.0,
905,1600,0.0,
905,1620,0.0,
905,1640,0.0,
905,1660,0.0,
905,1680,0.0,
905,1700,0.0,
905,1720,0.0,
905,1740,0.0,
905,1760,0.0,
905,1780,0.0,
905,1800,0.0,
