x,depth,litho,contacts
129,0,0,
129,1,0,
129,2,0,
129,3,0,
129,4,0,
129,5,0,
129,6,0,
129,7,0,
129,8,0,
129,9,0,
129,10,0,
129,11,0,
129,12,0,
129,13,0,
129,14,0,
129,15,0,
129,16,0,
129,17,0,
129,18,0,
129,19,0,
129,20,0,
129,21,0,
129,22,0,
129,23,0,
129,24,0,
129,25,0,
129,26,0,
129,27,0,
129,28,0,
129,29,0,
129,30,0,
129,31,0,
129,32,0,
129,33,0,
129,34,0,
129,35,0,
129,36,0,
129,37,0,
129,38,0,
129,39,0,
129,40,0,
129,41,0,
129,42,0,
129,43,0,
129,44,0,
129,45,0,
129,46,0,
129,47,0,
129,48,0,
129,49,0,
129,50,0,
129,51,0,
129,52,0,
129,53,0,
129,54,0,
129,55,0,
129,56,0,
129,57,0,
129,58,0,
129,59,1.0,1
129,60,1.0,
129,61,1.0,
129,62,1.0,
129,63,1.0,
129,64,1.0,
129,65,1.0,
129,66,1.0,
129,67,1.0,
129,68,1.0,
129,69,1.0,
129,70,1.0,
129,71,1.0,
129,72,1.0,
129,73,1.0,
129,74,1.0,
129,75,1.0,
129,76,1.0,
129,77,1.0,
129,78,1.0,
129,79,1.0,
129,80,1.0,
129,81,1.0,
129,82,1.0,
129,83,1.0,
129,84,1.0,
129,85,1.0,
129,86,1.0,
129,87,1.0,
129,88,1.0,
129,89,1.0,
129,90,1.0,
129,91,1.0,
129,92,1.0,
129,93,1.0,
129,94,1.0,
129,95,1.0,
129,96,1.0,
129,97,1.0,
129,98,1.0,
129,99,1.0,
129,100,1.0,
129,101,1.0,
129,102,1.0,
129,103,1.0,
129,104,1.0,
129,105,1.0,
129,106,1.0,
129,107,1.0,
129,108,1.0,
129,109,1.0,
129,110,1.0,
129,111,1.0,
129,112,1.0,
129,113,1.0,
129,114,1.0,
129,115,1.0,
129,116,1.0,
129,117,1.0,
129,118,1.0,
129,119,1.0,
129,120,1.0,
129,121,1.0,
129,122,1.0,
129,123,1.0,
129,124,1.0,
129,125,1.0,
129,126,1.0,
129,127,1.0,
129,128,1.0,
129,129,1.0,
129,130,1.0,
129,131,1.0,
129,132,1.0,
129,133,1.0,
129,134,1.0,
129,135,1.0,
129,136,1.0,
129,137,1.0,
129,138,1.0,
129,139,1.0,
129,140,1.0,
129,141,1.0,
129,142,1.0,
129,143,1.0,
129,144,1.0,
129,145,1.0,
129,146,1.0,
129,147,1.0,
129,148,1.0,
129,149,1.0,
129,150,1.0,
129,151,1.0,
129,152,1.0,
129,153,1.0,
129,154,1.0,
129,155,1.0,
129,156,1.0,
129,157,1.0,
129,158,1.0,
129,159,1.0,
129,160,1.0,
129,161,1.0,
129,162,1.0,
129,163,1.0,
129,164,1.0,
129,165,1.0,
129,166,1.0,
129,167,1.0,
129,168,1.0,
129,169,1.0,
129,170,1.0,
129,171,1.0,
129,172,1.0,
129,173,1.0,
129,174,1.0,
129,175,1.0,
129,176,1.0,
129,177,1.0,
129,178,1.0,
129,179,1.0,
129,180,1.0,
129,181,1.0,
129,182,1.0,
129,183,1.0,
129,184,1.0,
129,185,1.0,
129,186,1.0,
129,187,1.0,
129,188,1.0,
129,189,1.0,
129,190,1.0,
129,191,1.0,
129,192,1.0,
129,193,1.0,
129,194,1.0,
129,195,1.0,
129,196,1.0,
129,197,1.0,
129,198,1.0,
129,199,1.0,
129,200,1.0,
129,201,1.0,
129,202,1.0,
129,203,1.0,
129,204,1.0,
129,205,1.0,
129,206,1.0,
129,207,1.0,
129,208,1.0,
129,209,1.0,
129,210,1.0,
129,211,1.0,
129,212,1.0,
129,213,1.0,
129,214,1.0,1
129,215,0.0,
129,216,0.0,
129,217,0.0,
129,218,0.0,
129,219,0.0,
129,220,0.0,
129,221,0.0,
129,222,0.0,
129,223,0.0,
129,224,0.0,
129,225,0.0,
129,226,0.0,
129,227,0.0,
129,228,0.0,
129,229,0.0,
129,230,0.0,
129,231,0.0,
129,232,0.0,
129,233,0.0,
129,234,0.0,
129,235,0.0,
129,236,0.0,
129,237,0.0,
129,238,0.0,
129,239,0.0,
129,240,0.0,
129,241,0.0,
129,242,0.0,
129,243,0.0,
129,244,0.0,
129,245,0.0,
129,246,0.0,
129,247,0.0,
129,248,0.0,
129,249,0.0,
129,250,0.0,
129,251,0.0,
129,252,0.0,
129,253,0.0,
129,254,0.0,
129,255,0.0,
129,256,0.0,
129,257,0.0,
