x,depth,litho,contacts
90,0,0,
90,1,0,
90,2,0,
90,3,0,
90,4,0,
90,5,0,
90,6,0,
90,7,0,
90,8,0,
90,9,0,
90,10,0,
90,11,0,
90,12,0,
90,13,0,
90,14,0,
90,15,0,
90,16,0,
90,17,0,
90,18,0,
90,19,0,
90,20,0,
90,21,0,
90,22,1.0,1
90,23,1.0,
90,24,1.0,
90,25,1.0,
90,26,1.0,
90,27,1.0,
90,28,1.0,
90,29,1.0,
90,30,1.0,
90,31,1.0,
90,32,1.0,
90,33,1.0,
90,34,1.0,
90,35,1.0,
90,36,1.0,
90,37,1.0,
90,38,1.0,
90,39,1.0,
90,40,1.0,
90,41,1.0,
90,42,1.0,
90,43,1.0,
90,44,1.0,
90,45,1.0,
90,46,1.0,
90,47,1.0,
90,48,1.0,
90,49,1.0,
90,50,1.0,
90,51,1.0,
90,52,1.0,
90,53,1.0,
90,54,1.0,
90,55,1.0,
90,56,1.0,
90,57,1.0,
90,58,1.0,
90,59,1.0,
90,60,1.0,
90,61,1.0,
90,62,1.0,
90,63,1.0,
90,64,1.0,
90,65,1.0,
90,66,1.0,
90,67,1.0,
90,68,1.0,
90,69,1.0,
90,70,1.0,
90,71,1.0,
90,72,1.0,
90,73,1.0,
90,74,1.0,
90,75,1.0,
90,76,1.0,
90,77,1.0,
90,78,1.0,
90,79,1.0,
90,80,1.0,
90,81,1.0,
90,82,1.0,
90,83,1.0,
90,84,1.0,
90,85,1.0,
90,86,1.0,
90,87,1.0,
90,88,1.0,
90,89,1.0,
90,90,1.0,
90,91,1.0,
90,92,1.0,
90,93,1.0,
90,94,1.0,
90,95,1.0,
90,96,1.0,
90,97,1.0,
90,98,1.0,
90,99,1.0,
90,100,1.0,
90,101,1.0,
90,102,1.0,
90,103,1.0,
90,104,1.0,
90,105,1.0,
90,106,1.0,
90,107,1.0,
90,108,1.0,
90,109,1.0,
90,110,1.0,
90,111,1.0,
90,112,1.0,
90,113,1.0,
90,114,1.0,
90,115,1.0,
90,116,1.0,
90,117,1.0,
90,118,1.0,
90,119,1.0,
90,120,1.0,
90,121,1.0,
90,122,1.0,
90,123,1.0,
90,124,1.0,
90,125,1.0,
90,126,1.0,
90,127,1.0,
90,128,1.0,
90,129,1.0,
90,130,1.0,
90,131,1.0,
90,132,1.0,
90,133,1.0,
90,134,1.0,
90,135,1.0,
90,136,1.0,
90,137,1.0,
90,138,1.0,
90,139,1.0,
90,140,1.0,
90,141,1.0,
90,142,1.0,
90,143,1.0,
90,144,1.0,
90,145,1.0,
90,146,1.0,
90,147,1.0,
90,148,1.0,1
90,149,0.0,
90,150,0.0,
90,151,0.0,
90,152,0.0,
90,153,0.0,
90,154,0.0,
90,155,0.0,
90,156,0.0,
90,157,0.0,
90,158,0.0,
90,159,0.0,
90,160,0.0,
90,161,0.0,
90,162,0.0,
90,163,0.0,
90,164,0.0,
90,165,0.0,
90,166,0.0,
90,167,0.0,
90,168,0.0,
90,169,0.0,
90,170,0.0,
90,171,0.0,
90,172,0.0,
90,173,0.0,
90,174,0.0,
90,175,0.0,
90,176,0.0,
90,177,0.0,
90,178,0.0,
90,179,0.0,
90,180,0.0,
